"State","GDP","GDP_per_capita"
"California",4103124,104916
"Texas",2709393,86987
"New York",2297028,117332
"Florida",1705565,73784
"Illinois",1137244,90449
"Pennsylvania",1024206,78544
"Ohio",927740,78120
"Georgia",882535,78754
"Washington",854683,108468
"New Jersey",846587,90272
"North Carolina",839122,75876
"Massachusetts",780666,110561
"Virginia",764475,86747
"Michigan",719392,71083
"Colorado",553323,93026
"Arizona",552167,73203
"Tennessee",549709,75748
"Maryland",542766,87021
"Indiana",527381,76004
"Minnesota",500851,86371
"Wisconsin",451285,75605
"Missouri",451201,72108
"Connecticut",365723,100235
"South Carolina",349965,63711
"Oregon",331029,77916
"Louisiana",327782,71642
"Alabama",321238,61846
"Utah",300904,86506
"Kentucky",293021,64110
"Oklahoma",265779,64719
"Nevada",260728,80880
"Iowa",257021,79631
"Kansas",234673,79513
"Arkansas",188723,60276
"Nebraska",185411,93145
"District of Columbia",184916,263220
"Mississippi",157491,53061
"New Mexico",140542,66229
"Idaho",128132,63991
"New Hampshire",121189,85518
"Hawaii",115627,80325
"West Virginia",107660,60783
"Delaware",103253,98055
"Maine",98606,69803
"Rhode Island",82493,74594
"Montana",75999,66379
"North Dakota",75399,95982
"South Dakota",75179,80685
"Alaska",69969,95147
"Wyoming",52946,90335
"Vermont",45707,70131
